Entrada;Resultado Prog. Dinâmica;Tempo Prog. Dinâmica;Resultado Prog. Guloso;Tempo Prog. Guloso;
2275;971;0,075372;-718;0,000035;
2280;987;0,077567;-642;0,000034;
2285;991;0,075361;-653;0,000035;
2290;1001;0,075073;-556;0,000038;
2295;975;0,075705;-630;0,000036;
2300;988;0,076398;-527;0,000066;
2305;1022;0,075990;-532;0,000035;
2310;981;0,077071;-516;0,000036;
2315;967;0,076332;-575;0,000035;
2320;971;0,078214;-643;0,000035;
2325;1008;0,079237;-633;0,000036;
2330;1027;0,077941;-629;0,000036;
2335;1058;0,078419;-562;0,000035;
2340;1017;0,078680;-582;0,000036;
2345;1072;0,078867;-515;0,000036;
2350;1019;0,079503;-598;0,000051;
2355;1065;0,078870;-525;0,000036;
2360;1006;0,080172;-608;0,000036;
2365;980;0,080115;-571;0,000036;
2370;975;0,080055;-531;0,000036;
2375;1012;0,082588;-611;0,000036;
2380;1067;0,081143;-580;0,000036;
2385;1011;0,082751;-504;0,000036;
2390;1054;0,081422;-572;0,000036;
2395;1013;0,083804;-700;0,000036;
2400;1035;0,082236;-708;0,000036;
2405;1021;0,084820;-632;0,000036;
2410;1052;0,083388;-664;0,000036;
2415;1056;0,082975;-645;0,000037;
2420;1048;0,083589;-626;0,000037;
2425;1043;0,084198;-589;0,000037;
2430;1092;0,084725;-636;0,000037;
2435;1078;0,086174;-728;0,000037;
2440;1061;0,085508;-757;0,000036;
2445;1068;0,086441;-594;0,000037;
2450;1060;0,085211;-659;0,000037;
2455;1082;0,085511;-592;0,000037;
2460;1080;0,086601;-627;0,000037;
2465;1060;0,088109;-689;0,000038;
2470;1073;0,087529;-676;0,000037;
2475;1059;0,087338;-666;0,000038;
2480;1111;0,088796;-704;0,000038;
2485;1097;0,088979;-610;0,000038;
2490;1107;0,089908;-630;0,000043;
2495;1051;0,093519;-713;0,000038;
2500;1073;0,090876;-646;0,000039;
2505;1077;0,089770;-639;0,000039;
2510;1072;0,090332;-584;0,000041;
2515;1055;0,089798;-520;0,000038;
2520;1062;0,093278;-489;0,000068;
2525;1096;0,094129;-662;0,000039;
2530;1064;0,093004;-700;0,000039;
2535;1107;0,094615;-669;0,000040;
2540;1114;0,094960;-644;0,000039;
2545;1109;0,096693;-556;0,000039;
2550;1101;0,101227;-639;0,000039;
2555;1102;0,097619;-674;0,000039;
2560;1106;0,096976;-727;0,000039;
2565;1110;0,099223;-693;0,000039;
2570;1090;0,097368;-566;0,000039;
2575;1169;0,101250;-595;0,000040;
2580;1119;0,102004;-693;0,000075;
2585;1117;0,106461;-665;0,000040;
2590;1088;0,116192;-658;0,000039;
2595;1134;0,098315;-699;0,000044;
2600;1111;0,099082;-584;0,000049;
2605;1160;0,099508;-709;0,000041;
2610;1092;0,099494;-621;0,000041;
2615;1117;0,098603;-590;0,000041;
2620;1154;0,103377;-667;0,000040;
2625;1161;0,099043;-666;0,000041;
2630;1111;0,099451;-614;0,000041;
2635;1178;0,099926;-535;0,000041;
2640;1170;0,101137;-750;0,000040;
2645;1162;0,100710;-677;0,000040;
2650;1160;0,100401;-634;0,000040;
2655;1155;0,099821;-717;0,000039;
2660;1099;0,101383;-677;0,000040;
2665;1178;0,100779;-514;0,000042;
2670;1125;0,100441;-591;0,000040;
2675;1138;0,102144;-668;0,000040;
2680;1160;0,102857;-538;0,000041;
2685;1158;0,102561;-678;0,000041;
2690;1138;0,103292;-875;0,000074;
2695;1148;0,102932;-643;0,000041;
2700;1185;0,102655;-741;0,000040;
2705;1141;0,103155;-557;0,000042;
2710;1187;0,104198;-691;0,000041;
2715;1158;0,103986;-693;0,000043;
2720;1159;0,106325;-692;0,000041;
2725;1148;0,104865;-631;0,000042;
2730;1200;0,107237;-654;0,000042;
2735;1192;0,106516;-791;0,000041;
2740;1178;0,106934;-706;0,000042;
2745;1203;0,107024;-621;0,000042;
2750;1168;0,106046;-626;0,000042;
2755;1190;0,107890;-589;0,000042;
2760;1194;0,107098;-849;0,000041;
2765;1186;0,108095;-752;0,000041;
2770;1199;0,108744;-739;0,000042;
2775;1164;0,108573;-708;0,000042;
2780;1171;0,110409;-641;0,000042;
2785;1187;0,108983;-598;0,000042;
2790;1209;0,111154;-609;0,000043;
2795;1210;0,108682;-743;0,000042;
2800;1238;0,110522;-781;0,000042;
2805;1182;0,110715;-672;0,000043;
2810;1198;0,114356;-800;0,000042;
2815;1229;0,114421;-742;0,000042;
2820;1254;0,112788;-798;0,000042;
2825;1228;0,113420;-632;0,000043;
2830;1250;0,113461;-694;0,000060;
2835;1293;0,112290;-711;0,000042;
2840;1189;0,114740;-635;0,000044;
2845;1232;0,113448;-712;0,000046;
2850;1299;0,115089;-705;0,000043;
2855;1198;0,113966;-695;0,000043;
2860;1271;0,115271;-700;0,000043;
2865;1248;0,115507;-624;0,000044;
2870;1252;0,116097;-731;0,000044;
2875;1280;0,118068;-712;0,000043;
2880;1245;0,117301;-540;0,000044;
2885;1282;0,116310;-767;0,000044;
2890;1271;0,116820;-736;0,000043;
2895;1287;0,119214;-675;0,000044;
2900;1222;0,118286;-734;0,000043;
2905;1259;0,118941;-751;0,000043;
2910;1263;0,119462;-816;0,000044;
2915;1279;0,120442;-749;0,000044;
2920;1271;0,119289;-736;0,000044;
2925;1284;0,120320;-714;0,000044;
2930;1294;0,119353;-839;0,000045;
2935;1280;0,120572;-715;0,000044;
2940;1224;0,120908;-696;0,000045;
2945;1312;0,121254;-614;0,000044;
2950;1247;0,121917;-805;0,000045;
2955;1239;0,125509;-735;0,000062;
2960;1354;0,153637;-779;0,000044;
2965;1292;0,124316;-799;0,000044;
2970;1251;0,124613;-645;0,000046;
2975;1264;0,125449;-791;0,000049;
2980;1355;0,126070;-679;0,000045;
2985;1257;0,146079;-756;0,000045;
2990;1243;0,124801;-722;0,000045;
2995;1304;0,127456;-826;0,000044;
3000;1281;0,127159;-804;0,000045;
3005;1267;0,128220;-788;0,000045;
3010;1337;0,127039;-700;0,000047;
3015;1314;0,127211;-720;0,000045;
3020;1318;0,128117;-653;0,000046;
3025;1343;0,129410;-679;0,000046;
3030;1314;0,128429;-780;0,000046;
3035;1345;0,130935;-701;0,000046;
3040;1355;0,129790;-712;0,000046;
3045;1314;0,130565;-849;0,000045;
3050;1309;0,129820;-752;0,000050;
3055;1301;0,132536;-673;0,000046;
3060;1326;0,131758;-867;0,000046;
3065;1366;0,132883;-635;0,000046;
3070;1307;0,131243;-694;0,000047;
3075;1371;0,134291;-672;0,000050;
3080;1408;0,133936;-809;0,000050;
3085;1352;0,133362;-850;0,000046;
3090;1320;0,133922;-654;0,000046;
3095;1345;0,134136;-857;0,000046;
3100;1292;0,133934;-685;0,000047;
3105;1404;0,134947;-768;0,000046;
3110;1303;0,136614;-677;0,000047;
3115;1421;0,135775;-802;0,000050;
3120;1365;0,137376;-900;0,000047;
3125;1393;0,137102;-677;0,000049;
3130;1376;0,139238;-778;0,000047;
3135;1389;0,137335;-819;0,000047;
3140;1384;0,138004;-782;0,000047;
3145;1349;0,140995;-937;0,000047;
3150;1362;0,139165;-831;0,000048;
3155;1321;0,138858;-794;0,000048;
3160;1373;0,139682;-895;0,000047;
3165;1332;0,140963;-807;0,000051;
3170;1372;0,139912;-803;0,000048;
3175;1391;0,140943;-769;0,000047;
3180;1413;0,141360;-780;0,000048;
3185;1339;0,144800;-812;0,000052;
3190;1385;0,141584;-844;0,000048;
3195;1452;0,142478;-711;0,000048;
3200;1387;0,144082;-767;0,000048;
3205;1409;0,146474;-793;0,000048;
3210;1371;0,143777;-729;0,000048;
3215;1378;0,145459;-773;0,000048;
3220;1403;0,144207;-850;0,000048;
3225;1416;0,145101;-828;0,000048;
3230;1420;0,145005;-953;0,000049;
3235;1397;0,145792;-781;0,000048;
3240;1419;0,147804;-825;0,000049;
3245;1402;0,149573;-884;0,000052;
3250;1457;0,149351;-730;0,000050;
3255;1449;0,150338;-879;0,000049;
3260;1465;0,147403;-836;0,000049;
3265;1460;0,148833;-877;0,000048;
3270;1434;0,153937;-810;0,000049;
3275;1417;0,149827;-950;0,000049;
3280;1430;0,150161;-805;0,000049;
3285;1407;0,153419;-840;0,000049;
3290;1456;0,150839;-761;0,000050;
3295;1451;0,151917;-802;0,000050;
3300;1461;0,152334;-858;0,000050;
3305;1414;0,152739;-758;0,000050;
3310;1424;0,153163;-904;0,000049;
3315;1431;0,155211;-891;0,000050;
3320;1483;0,156087;-899;0,000053;
3325;1454;0,152830;-886;0,000050;
3330;1437;0,156434;-846;0,000051;
3335;1441;0,155894;-746;0,000051;
3340;1466;0,154655;-955;0,000050;
3345;1464;0,155613;-918;0,000051;
3350;1489;0,157828;-914;0,000050;
3355;1487;0,156073;-865;0,000050;
3360;1455;0,156070;-777;0,000051;
3365;1483;0,157640;-755;0,000051;
3370;1532;0,159132;-871;0,000051;
3375;1512;0,158034;-870;0,000051;
3380;1489;0,157508;-863;0,000051;
3385;1517;0,159636;-904;0,000054;
3390;1434;0,160122;-951;0,000051;
3395;1498;0,160494;-938;0,000051;
3400;1490;0,164512;-823;0,000051;
3405;1455;0,160942;-858;0,000052;
3410;1468;0,161984;-905;0,000052;
3415;1493;0,162319;-817;0,000051;
3420;1563;0,160834;-864;0,000055;
3425;1507;0,163208;-842;0,000051;
3430;1484;0,164232;-991;0,000052;
3435;1464;0,164135;-810;0,000052;
3440;1564;0,164985;-869;0,000052;
3445;1487;0,166954;-883;0,000052;
3450;1473;0,165014;-831;0,000052;
3455;1507;0,165761;-893;0,000052;
3460;1535;0,168877;-961;0,000052;
3465;1533;0,168128;-987;0,000052;
3470;1480;0,170167;-758;0,000054;
3475;1520;0,167662;-922;0,000052;
3480;1533;0,167722;-951;0,000053;
3485;1570;0,169350;-917;0,000052;
3490;1568;0,169180;-871;0,000052;
3495;1527;0,169184;-987;0,000053;
3500;1516;0,171695;-851;0,000052;
3505;1604;0,170827;-811;0,000053;
3510;1524;0,170828;-714;0,000053;
3515;1546;0,171714;-920;0,000052;
3520;1475;0,174795;-967;0,000053;
3525;1554;0,173712;-909;0,000053;
3530;1516;0,175052;-932;0,000053;
3535;1625;0,175481;-805;0,000053;
3540;1563;0,174059;-900;0,000053;
3545;1543;0,174778;-860;0,000054;
3550;1553;0,175488;-916;0,000054;
3555;1617;0,175565;-837;0,000054;
3560;1585;0,175555;-893;0,000054;
3565;1580;0,176448;-1036;0,000053;
3570;1542;0,177037;-999;0,000054;
3575;1573;0,180861;-854;0,000055;
3580;1613;0,178535;-853;0,000054;
3585;1602;0,179331;-852;0,000054;
3590;1543;0,179376;-941;0,000054;
3595;1538;0,178850;-775;0,000054;
3600;1554;0,181511;-789;0,000056;
